Pair.Name,Ligand,Receptor,Dataset,Annotation,Location  Ligand,GO,References,Julia TRUE/FALSE/NA,Julia literature reference,Julia comment,checked,,,,,,,,,,,,,
Abca1-Shank1,Abca1,Shank1,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,,"shank1 is an adapter protein, not a receptor",,,,,,,,,9.12,,,,,
A2m-Lrp1,A2m,Lrp1,Ramilowski,Correct,Secreted,Other,"1702392,10652313, 12194978",TRUE,,,,,,,,,,,9.12,,,,,
Adgre5-Cd55,Adgre5,Cd55,Baccin,Correct,Membrane,Other,23447688,TRUE,,Adgre5=CD97,,,,,,,,,9.12,,,,,
Adipoq-Adipor1,Adipoq,Adipor1,Ramilowski,Correct,Secreted,Other,12802337,TRUE,,"Adipoq=Adiponectin, Adipoqr1/2 are the receptors",,,,,,,,,9.12,,,,,
Adipoq-Adipor2,Adipoq,Adipor2,Ramilowski,Correct,Secreted,Other,"12802337, 12802330",TRUE,,"Adipoq=Adiponectin, Adipoqr1/2 are the receptors",,,,,,,,,9.12,,,,,
Adm-Calcrl&Ramp2,Adm,Calcrl&Ramp2,Baccin,Correct,Secreted,Other,10342881,TRUE,,,,,,,,,,,9.12,,,,,
Alcam-Cd6,Alcam,Cd6,Baccin,Correct,Membrane,Other,24496453,TRUE,,,,,,,,,,,9.12,,,,,
Alcam-L1cam,Alcam,L1cam,Baccin,Correct,Membrane,Other,22983139,TRUE,,Look at the conclusions,,,,,,,,,9.12,,,,,
Angpt1-Itgav&Itgb5,Angpt1,Itgav&Itgb5,Baccin,Correct,Secreted,Other,24048525,NA/FALSE,,Could not find anything,,,,,,,,,9.12,,,,,
Angpt1-Itgb1,Angpt1,Itgb1,Baccin,Correct,Secreted,Other,11346644,NA/FALSE,,Could not find anything,,,,,,,,,9.12,,,,,
Angpt1-Tek,Angpt1,Tek,Ramilowski,Correct,Secreted,Other,"8980223,,9723709, 8980223, 12427764, 8980224",TRUE,PMID: 24003209,Look at figure 1,,,,,,,,,9.12,,,,,
